候选概念,标记类别,,《操作系统》课程概念分类说明：分三类：核心概念；相关概念；其他
可移植性,2,,
局域网,1,,
分布式,2,,
虚拟化,1,,
管理系统,1,,
系统可靠性,2,,
子系统,2,,
软件工程,1,,
抽象编程,1,,
编程,1,,
计算机软件,1,,
软件包,1,,
应用程序开发,1,,
资源共享,2,,
软件开发,1,,
数据结构,1,,
自动化,0,,
技术,0,,
个人计算机,0,,
开发环境,1,,
管理工具,1,,
计算机程序,1,,
交互性,2,,
程序设计,1,,
虚拟环境,1,,
linux,2,,
汇编语言,1,,
编程语言,1,,
资源管理,2,,
面向对象,1,,
兼容性,2,,
架构,1,,
x86架构,1,,
资源,2,,
模块化,1,,
计算机科学,1,,
自然语言,0,,
互联网,1,,
解决方案,0,,
界面,0,,
面向对象编程,1,,
桌面,0,,
开发人员,0,,
技术支持,0,,
平台,0,,
微软,0,,
机器人,0,,
设计,0,,
中间层,0,,
开源,0,,
环境,0,,
语言,0,,
集群,0,,
面向,0,,
中断源,2,,
中断,2,,
中断控制器,2,,
中断系统,2,,
系统中断,2,,
安全,2,,
硬件中断,2,,
系统初始化,2,,
中断机制,2,,
缺页中断,2,,
执行系统,2,,
系统模块,2,,
系统进程,2,,
外部中断,2,,
主机系统,0,,
内部中断,2,,
进程控制块,2,,
中断响应,2,,
程序控制,2,,
同步控制,2,,
实时系统,2,,
信号量机制,2,,
安全管理,2,,
调度程序,2,,
死锁,2,,
安全状态,2,,
系统状态,2,,
中断处理,2,,
中断方式,2,,
调度系统,2,,
系统服务,2,,
服务系统,0,,
管理功能,2,,
系统,2,,
软中断,2,,
系统转换,2,,
禁止中断,2,,
安全模式,2,,
管理信息,2,,
关闭设备,2,,
储存管理,2,,
输出反馈,2,,
控制信号,2,,
控制信息,2,,
单步调试,1,,
同步操作,2,,
运行模式,1,,
处理机调度,2,,
进程间通讯,2,,
状态转换图,2,,
进程状态,2,,
系统崩溃,2,,
动态管理,2,,
调度算法,2,,
信息传递,2,,
死锁预防,2,,
顺序执行,2,,
运行状态,2,,
实时任务,2,,
模块,2,,
恢复机制,2,,
管理子系统,2,,
执行状态,2,,
运行环境,0,,
双向链接,1,,
交换技术,1,,
实时调度,2,,
控制机构,0,,
伙伴系统,2,,
管理方法,0,,
状态信息,2,,
工作机制,2,,
直接控制,2,,
模式切换,2,,
运行速度,0,,
信息,0,,
服务过程,0,,
资源管理器,0,,
管理过程,0,,
信息交流,0,,
直接操作,0,,
校验和,1,,
位置信息,0,,
有效管理,2,,
项目执行,0,,
命令方式,0,,
监控,1,,
移动计算,0,,
执行能力,0,,
使用环境,0,,
页式管理,2,,
管理,0,,
转换过程,0,,
自动保存,0,,
故障,0,,
优先,2,,
发信息,0,,
远程,0,,
流程图,0,,
驱动,2,,
服务,2,,
优化,0,,
自动,0,,
调试,0,,
先来先服务,2,,
重新执行,0,,
主引导记录,2,,
开机自检,2,,
启动,0,,
部件,0,,
工作状态,2,,
流程,0,,
再分配,2,,
学习过程,0,,
功能,0,,
联网,0,,
引导记录,2,,
实验方法,0,,
穿孔机,0,,
实模式,2,,
测试,0,,
运作,0,,
过程,0,,
就绪状态,2,,
器,0,,
处理能力,0,,
状态标志,2,,
内部检查,2,,
检测,0,,
机械运动,0,,
工作场所,0,,
分配,0,,
单向,2,,
手动,0,,
模式,2,,
好工作,0,,
工具,0,,
调度,2,,
重新设计,0,,
设置,0,,
dma通道,2,,
循环,0,,
异常处理,2,,
动态,2,,
移动,0,,
辅助工具,0,,
恢复现场,2,,
开始设计,0,,
状态,0,,
介质,0,,
通讯,0,,
方式,0,,
保护现场,2,,
挂起状态,2,,
睡眠状态,2,,
双向,2,,
工作,0,,
调节,0,,
加电自检,2,,
管道,2,,
任务,0,,
再循环,0,,
工作集,2,,
专用,0,,
理想状态,0,,
作业,0,,
分段,2,,
运转,0,,
项目,0,,
检查,0,,
动作,0,,
机械,0,,
储能,0,,
机构,0,,
标定,0,,
利用,0,,
辅助,0,,
校正,0,,
手工,0,,
共用,0,,
调整,0,,
计时,0,,
补偿,0,,
产生,0,,
出厂,0,,
被动,0,,
联络,0,,
常规,0,,
场合,0,,
活动,0,,
替代,0,,
时,0,,
大量,0,,
定期,0,,
全部,0,,
链表,1,,
线性表,1,,
哈希表,1,,
循环链表,1,,
全局描述符表,2,,
表映射,1,,
顺序查找,1,,
索引节点,2,,
有向图,1,,
函数指针,1,,
哈希值,1,,
形参,1,,
逻辑视图,1,,
符号表,1,,
基本块,1,,
数据项,0,,
替换算法,2,,
页面置换算法,2,,
实参,1,,
控制流,1,,
sleep函数,2,,
数组,1,,
二维数组,1,,
scanf,1,,
赋值,1,,
全局变量,1,,
标识符,1,,
整型变量,1,,
表达式,1,,
局部变量,1,,
字符串,1,,
状态图,1,,
偏移量,2,,
递归,1,,
控制流图,1,,
数据类型,1,,
malloc,1,,
无符号整数,1,,
offset,1,,
无符号整型,1,,
main函数,1,,
基本函数,1,,
变量,1,,
保留字,2,,
调节变量,1,,
向量,1,,
求导,0,,
结点,0,,
迭代,0,,
函数,0,,
字符,0,,
项数,0,,
宿主变量,0,,
描述逻辑,0,,
排序,1,,
测试数据,1,,
算法,1,,
语句,0,,
运算,0,,
嵌套,0,,
函数体,1,,
printf,1,,
复杂度,1,,
返回值,1,,
近似算法,1,,
核函数,0,,
逻辑覆盖,0,,
顺序,0,,
常量,0,,
循环体,0,,
原子操作,2,,
条件变量,0,,
引用计数,2,,
缺省,1,,
普适计算,0,,
c_str,0,,
复制子,0,,
图形,0,,
互斥锁,2,,
一一映射,1,,
成员变量,1,,
外排序,0,,
逻辑,0,,
矩阵,0,,
离散空间,0,,
枚举,0,,
时间轴,0,,
步长值,2,,
空格,0,,
整数,0,,
非负整数,0,,
序列,0,,
线性,0,,
指针,1,,
柱面,0,,
头指针,1,,
语义,0,,
关键字,0,,
银行家算法,2,,
百分号,0,,
整型,0,,
括号,0,,
值,0,,
波数,0,,
静态,0,,
参数,0,,
位数,0,,
右移,0,,
线性关系,0,,
符号,0,,
数值,0,,
实例,0,,
序号,0,,
控制点,0,,
图示,0,,
属性,0,,
负整数,0,,
图象,0,,
模型,0,,
除法,0,,
标识,0,,
对应,0,,
自旋锁,0,,
等价,0,,
标记,0,,
数字,0,,
正数,0,,
加法,0,,
语法,0,,
指向,0,,
元素,0,,
段落,0,,
公式,0,,
符号名,0,,
引号,0,,
读数,0,,
乘法,0,,
字母,0,,
星号,0,,
等式,0,,
幂,0,,
曲线,0,,
对数,0,,
位图,0,,
负数,0,,
计数,0,,
云计算,0,,
变数,0,,
无限大,0,,
先验,0,,
例子,0,,
单词,0,,
度量,0,,
假设,0,,
权重,0,,
顶点,0,,
偶数,0,,
中间状态,0,,
奇数,0,,
举例,0,,
步长,2,,
全局,0,,
大写,0,,
问号,0,,
图,0,,
原子,0,,
观测,0,,
自乘,0,,
次方,0,,
小节,0,,
结尾,0,,
子代,0,,
个子,0,,
罗列,0,,
倒数,0,,
维,0,,
示例,0,,
态,0,,
粗略,0,,
单调,0,,
下界,0,,
零点,0,,
程,0,,
实,0,,
父,0,,
字,0,,
gdb,1,,
机器码,1,,
mmap,2,,
用户线程,2,,
系统调用,2,,
程序计数器,2,,
远程访问,0,,
批处理系统,2,,
进程间通信,2,,
服务器,1,,
dos操作系统,1,,
stdout,1,,
makefile,1,,
虚拟机管理器,1,,
stdin,1,,
多进程操作系统,2,,
访问权限,2,,
程序段,2,,
java虚拟机,0,,
bios,2,,
vfork,2,,
单线程,2,,
用户程序,2,,
代码段,2,,
gcc,1,,
接口函数,1,,
终止程序,1,,
pwd,1,,
用户视图,1,,
shell程序,1,,
debug,1,,
库函数,1,,
emacs,0,,
程序,0,,
多道程序,2,,
fork,2,,
虚拟机,1,,
deque,1,,
用户空间,2,,
例程,2,,
assert,1,,
进程管理,2,,
进程切换,2,,
execve,2,,
bootloader,2,,
disable,0,,
上下文切换,2,,
线程,2,,
解释器,1,,
调试器,1,,
进程调度,2,,
代码生成,1,,
unix,2,,
并发运行,2,,
调用栈,2,,
线程数,2,,
pxe,0,,
汇编程序,1,,
应用程序,2,,
小应用程序,0,,
minix,0,,
错误代码,0,,
多线程,2,,
dos,0,,
执行程序,0,,
初始化,0,,
编译器,1,,
getpid,2,,
turbo pascal,0,,
编译程序,1,,
保护模式,2,,
原语,2,,
用户,0,,
编辑程序,0,,
进程同步,2,,
起始页,2,,
源码,0,,
函数调用,1,,
超级用户,0,,
eax,1,,
windows rt,0,,
调用,2,,
权限,2,,
用户体验,0,,
ubuntu,1,,
ms-dos,0,,
断点,1,,
主程序,1,,
用户态,2,,
ibm,0,,
多进程,2,,
可执行程序,1,,
eclipse,0,,
vmware,1,,
进程,2,,
sem_wait,2,,
编译执行,1,,
虚拟空间,2,,
死循环,1,,
测试用例,0,,
子进程,2,,
头文件,1,,
semaphore,2,,
批处理,2,,
visual studio,1,,
指定你,0,,
会话,0,,
代码,0,,
进程池,2,,
访问者,0,,
tlb,2,,
java,0,,
僵尸进程,2,,
用户名,0,,
读操作,2,,
父进程,2,,
源代码,1,,
网站,0,,
遍历,0,,
伪代码,0,,
编辑器,0,,
卸载,0,,
go语言,0,,
命令,0,,
客户,0,,
帐号,0,,
c语言,1,,
口令,1,,
请求调页,2,,
开始运行,0,,
内联汇编,1,,
程序员,0,,
版本,0,,
ia-32,0,,
继续执行,0,,
管理员,0,,
后台,0,,
声明,0,,
使用者,0,,
php,0,,
库,0,,
wiki,0,,
_sleep,0,,
事件,0,,
宏,0,,
前台,0,,
谷歌,0,,
指派,0,,
百度,0,,
变种,0,,
内存映射文件,2,,
文件访问控制列表,2,,
磁盘访问时间,2,,
磁盘缓存,2,,
磁盘管理,2,,
共享数据,2,,
文件描述符,2,,
fat文件系统,2,,
磁盘文件系统,2,,
访问控制列表,2,,
虚拟文件系统,2,,
数据库文件,0,,
虚拟磁盘,2,,
文件系统,2,,
硬盘扇区,2,,
索引文件,2,,
输入文件,0,,
文件管理,2,,
虚拟盘,2,,
分区表,2,,
磁盘驱动,2,,
共享文件,2,,
访问控制,2,,
文件维护,2,,
文件控制块,2,,
swap分区,2,,
文件指针,2,,
列表,1,,
磁盘,1,,
预读,1,,
磁盘分区,2,,
文件组织,2,,
共享资源,2,,
特殊文件系统,2,,
扇区,2,,
系统分区,2,,
逻辑分区,2,,
多级索引,2,,
文本文件,0,,
映像文件,2,,
配置文件,0,,
动态链接,1,,
磁盘镜像,2,,
相对路径,1,,
主引导扇区,2,,
硬盘数据,0,,
文件共享,2,,
目标文件,0,,
删除文件,0,,
视图,1,,
解压缩,0,,
引导扇区,2,,
记录文件,2,,
跟踪文件,1,,
共享库,1,,
根文件系统,2,,
文档,0,,
关闭文件,2,,
索引,2,,
页面,2,,
交换分区,2,,
主键,0,,
文件目录,2,,
文件,2,,
邮件,0,,
系统文件,2,,
文件属性,2,,
文件头,2,,
格式化,0,,
表格,0,,
可执行文件,0,,
文本编辑,0,,
文件名,2,,
备份,0,,
分区分配,2,,
当前目录,2,,
临时文件,2,,
路径,0,,
根目录,1,,
子目录,1,,
检索,1,,
项里,0,,
视频文件,0,,
链接,0,,
重命名,0,,
选项,0,,
软链接,2,,
文本,0,,
快捷方式,0,,
日志,0,,
页错误,2,,
镜像,2,,
活动分区,2,,
软盘,1,,
图标,0,,
拷贝,0,,
硬链接,2,,
储存,0,,
格式,0,,
菜单,0,,
文件大小,0,,
网址,0,,
分区,2,,
便签,0,,
标签,0,,
大分区,2,,
光盘,0,,
清空,0,,
错误,0,,
记录,0,,
图片,0,,
键,0,,
改动,0,,
编辑,0,,
目录,0,,
新建,0,,
虚拟内存管理,2,,
内存映射,2,,
内存管理,2,,
内存变量,0,,
虚拟存储,2,,
计算机内存,2,,
存储器,1,,
虚拟内存,2,,
内存管理器,2,,
内存单元,2,,
内存分配,2,,
内核空间,2,,
存储空间,2,,
cpu,1,,
pci总线,1,,
物理内存,2,,
存储结构,1,,
存储区域,1,,
动态内存,2,,
共享内存,2,,
缓存,2,,
存储芯片,1,,
内存,2,,
释放内存,2,,
存储容量,2,,
多核处理器,2,,
存储单位,2,,
带宽,1,,
系统总线,1,,
总线,1,,
封装,2,,
处理器,1,,
常驻内存,2,,
内核,2,,
内存条,1,,
芯片,1,,
时钟,2,,
功耗,0,,
主板,0,,
intel,0,,
北桥,0,,
厂商,0,,
x86-64,1,,
英特尔,0,,
双核,2,,
宿主,0,,
类型,0,,
南桥,0,,
设备控制器,2,,
raid控制器,2,,
用户接口,2,,
网络打印机,0,,
控制器,1,,
dma控制器,2,,
ide硬盘,1,,
可扩展固件接口,1,,
虚拟硬盘,2,,
设备驱动程序,2,,
设备驱动,2,,
打印服务器,0,,
服务接口,1,,
路由器,1,,
编程接口,1,,
总线接口,1,,
输入输出设备,2,,
usb接口,0,,
视频接口,0,,
磁盘阵列技术,2,,
外部设备,2,,
网络接口,2,,
端口,1,,
硬盘,1,,
存储设备,1,,
驱动程序,2,,
跳线,1,,
以太网,1,,
数据传输,1,,
网络设备,1,,
性能评测,1,,
固件,1,,
设备,1,,
存储介质,1,,
块设备,1,,
周边设备,0,,
磁头,2,,
声卡,0,,
功能手机,0,,
pcb,2,,
网卡,0,,
适配器,0,,
终端,0,,
打印机,0,,
即插即用,0,,
磁盘阵列,2,,
电子设备,0,,
外设,0,,
读写锁,2,,
i/o端口,2,,
显示器,0,,
输入输出,1,,
显卡,0,,
盘片,0,,
音频,0,,
全屏,0,,
性能,0,,
i/o接口,2,,
向下兼容,2,,
机器,0,,
i/o指令,1,,
电源,0,,
智能手机,0,,
接点,0,,
光驱,0,,
i/o操作,2,,
视频,0,,
电源开关,0,,
按键,0,,
i/o设备,2,,
键盘,0,,
鼠标,0,,
i/o通道,2,,
蓝牙,0,,
手机,0,,
屏幕,0,,
开机,0,,
详细信息,0,,
低端,0,,
游戏,0,,
磁带,2,,
电脑游戏,0,,
笔记本,0,,
玩游戏,0,,
分页机,0,,
动画,0,,
卡,0,,
平衡点,0,,
资源分配,2,,
安全问题,0,,
资源效率,0,,
先验信息,0,,
协调机制,0,,
竞争资源,0,,
管理控制,0,,
机制,0,,
选择成本,0,,
统一管理,0,,
保密性,0,,
安全性,0,,
包含关系,0,,
联系性,0,,
管理效率,0,,
灵活性,0,,
效率,0,,
约束条件,0,,
控制权,0,,
权,0,,
管理办法,0,,
度量指标,0,,
提高效率,0,,
并发性,2,,
公平性,2,,
生产者消费者问题,2,,
汇总,0,,
策略,0,,
一致性,0,,
管理机制,0,,
完整性,0,,
有效性,0,,
评价标准,0,,
问题解决,0,,
决策,0,,
时效性,2,,
可信性,0,,
规则,0,,
方案,0,,
先验知识,0,,
有问题,0,,
协调关系,0,,
差异化,0,,
关联,0,,
规范,0,,
分析,0,,
不确定性,0,,
许可,0,,
依赖关系,0,,
风险,0,,
相关性,0,,
协作,0,,
关联性,0,,
问题,0,,
持久性,0,,
关系建立,0,,
环节,0,,
差异性,0,,
关键点,0,,
渠道,0,,
管理体制,0,,
标准化,0,,
管理者,0,,
优势,0,,
准确性,0,,
评价指标,0,,
监管,0,,
连续性,0,,
合法性,0,,
周期性,0,,
细化,0,,
开放性,0,,
仲裁,2,,
竞争,0,,
技巧,0,,
措施,0,,
能力,0,,
独立性,0,,
指标,0,,
运用,0,,
协同,0,,
可行性,0,,
垄断,0,,
协调会,0,,
研究,0,,
合理,0,,
小结,0,,
相似性,0,,
规定,0,,
有关系,0,,
合法,0,,
连贯性,0,,
结果,0,,
解决问题,0,,
制约,0,,
综合利用,0,,
交流,0,,
约束,0,,
关键,0,,
冲突,0,,
因素,0,,
瓶颈,0,,
资料,0,,
重要性,0,,
权衡,0,,
预测,0,,
障碍,0,,
细节,0,,
偏差,0,,
有序,0,,
阶段,0,,
要约,0,,
原则,0,,
结论,0,,
局限性,0,,
宏观,0,,
情况,0,,
弱化,0,,
综合,0,,
信用,0,,
方面,0,,
条件,0,,
分工,0,,
影响,0,,
波动,0,,
微观,0,,
异常现象,0,,
程度,0,,
规律,0,,
关系,0,,
生产者,0,,
尺度,0,,
矛盾,0,,
效果,0,,
公平,0,,
缺点,0,,
手段,0,,
准则,0,,
现象,0,,
差异,0,,
建议,0,,
变动,0,,
消费者,0,,
具体分析,0,,
统一,0,,
联系,0,,
可能性,0,,
报告,0,,
细则,0,,
总结,0,,
经验,0,,
后果,0,,
至关重要,0,,
必要条件,0,,
前提,0,,
周边环境,0,,
性,0,,
效应,0,,
进展,0,,
原因,0,,
困难,0,,
整理,0,,
时机,0,,
高层,0,,
变化,0,,
评价,0,,
贡献,0,,
意识,0,,
项,0,,
有关,0,,
力度,0,,
调动,0,,
外交,0,,
分歧,0,,
办法,0,,
证明,0,,
意见,0,,
储存空间,0,,
运行时间,0,,
访问次数,0,,
占用空间,0,,
时间代码,0,,
临界资源,2,,
物理空间,2,,
特权级,2,,
响应速度,2,,
时间片轮转调度,2,,
时间窗口,0,,
时间顺序,0,,
周转时间,2,,
处理时间,0,,
空间,0,,
响应时间,2,,
平均等待时间,2,,
速率,0,,
发展速度,0,,
剩余时间,0,,
差值,0,,
最大值,0,,
工作量,0,,
数量关系,0,,
流量,0,,
响应比,2,,
成本,0,,
吞吐量,2,,
基本时间,0,,
信息量,0,,
时间单位,0,,
配额,0,,
容量,0,,
衰减系数,0,,
满负荷,0,,
资金,0,,
时间间隔,0,,
频率比,0,,
使用率,0,,
数量级,0,,
频率,0,,
使用权,0,,
峰值,0,,
外需,0,,
条数,0,,
平均值,0,,
精度,0,,
时间尺度,0,,
平均时间,0,,
比值,0,,
时间点,0,,
长度,0,,
节省,0,,
时间有多长,0,,
时间,0,,
速度,0,,
临界区,2,,
寻道时间,2,,
消耗,0,,
频度,0,,
基准,0,,
周转,0,,
数量,0,,
预估,0,,
时间片,2,,
尺寸,0,,
模量,0,,
资源量,0,,
内能,0,,
级别,0,,
实际数,0,,
宽度,0,,
时间差,0,,
份额,0,,
余额,0,,
质量,0,,
现金,0,,
数目,0,,
节约,0,,
间隔,0,,
燃料,0,,
花时间,0,,
间距,0,,
消费,0,,
概率,0,,
金额,0,,
价格,0,,
银行贷款,0,,
贷款,0,,
能量,0,,
次数,0,,
存款,0,,
时限,0,,
总量,0,,
容重,0,,
水平,0,,
经验值,0,,
距离,0,,
预期,0,,
实际,0,,
规模,0,,
量,0,,
精力,0,,
范围,0,,
借款,0,,
预计,0,,
需求量,0,,
编号,0,,
存活,0,,
美元,0,,
单位,0,,
地点,0,,
发给,0,,
比例,0,,
数,0,,
压力,0,,
总和,0,,
总数,0,,
高度,0,,
20 30 40,0,,
物价上涨,0,,
标的,0,,
远大于,0,,
人数,0,,
任期,0,,
力,0,,
总,0,,
逻辑结构,0,,
设计原理,0,,
局部性原理,2,,
设计目标,0,,
树状结构,0,,
动态重定位,2,,
层次结构,0,,
定义,0,,
抽象方法,2,,
组织结构,2,,
分层结构,2,,
相关内容,0,,
分支结构,0,,
基本结构,0,,
身份标识,0,,
整体设计,0,,
结构,0,,
原理,0,,
方法,0,,
框架,0,,
步骤,0,,
对象,0,,
生命周期,1,,
标准,0,,
机理,0,,
体系,0,,
内容,0,,
解析,0,,
重定位,2,,
领域,0,,
抽象,0,,
布局,0,,
区域,0,,
基本单位,0,,
示意图,0,,
目标,0,,
实体,0,,
基础,0,,
理论,0,,
图式,0,,
直观,0,,
概念,0,,
定位,0,,
轨迹,0,,
分布图,0,,
源头,0,,
地位,0,,
细分,0,,
核心,0,,
基本知识,0,,
发展,0,,
形式,0,,
出发点,0,,
层面,0,,
优点,0,,
思路,0,,
底层,0,,
分层,0,,
标志,0,,
共性,0,,
分类,0,,
来源,0,,
基本,0,,
线索,0,,
终极目标,0,,
传统,0,,
局部,0,,
字面,0,,
术语,0,,
设计者,0,,
总体,0,,
特点,0,,
普及,0,,
局限,0,,
起点,0,,
分支,0,,
部分,0,,
本质,0,,
内涵,0,,
整体,0,,
方向,0,,
特征,0,,
目的,0,,
风格,0,,
代表,0,,
热点,0,,
全面,0,,
种类,0,,
区分,0,,
视角,0,,
突破,0,,
常识,0,,
含义,0,,
典型,0,,
混合体,0,,
名称,0,,
概貌,0,,
成分,0,,
意义,0,,
要点,0,,
格局,0,,
分子,0,,
化,0,,
精髓,0,,
广义,0,,
所指,0,,
中心,0,,
有机,0,,
名词,0,,
界定,0,,
区别,0,,
背景,0,,
角度,0,,
变迁,0,,
两者,0,,
重点,0,,
图说,0,,
基本上,0,,
经典,0,,
现状,0,,
顾名思义,0,,
形象,0,,
主体,0,,
功效,0,,
命名,0,,
特色,0,,
语意,0,,
历史,0,,
一体,0,,
通俗,0,,
融为一体,0,,
画法,0,,
刻画,0,,
古老,0,,
总称,0,,
数据结构课程,0,,
大学计算机,0,,
教学平台,0,,
差异化教学,0,,
教学过程,0,,
卷管理,0,,
课程设计,0,,
课程内容,0,,
专业基础课,0,,
工程,0,,
物理,0,,
基础知识,0,,
教学内容,0,,
学堂在线,0,,
知识点,0,,
工程师,0,,
图灵奖,0,,
专业,0,,
实验报告,0,,
二级目录,0,,
一级目录,0,,
实验课,0,,
课程,0,,
本科生,0,,
专业人士,0,,
教材,0,,
伯克利,0,,
建设,0,,
教学,0,,
从零开始,0,,
实验,0,,
荷兰语,0,,
基础课,0,,
科学,0,,
陈渝,0,,
参考答案,0,,
技能,0,,
死记硬背,0,,
中文版,0,,
随堂,0,,
参考书,0,,
书库,0,,
生物,0,,
章节,0,,
会议,0,,
浙江大学,0,,
图书馆,0,,
考核,0,,
题目,0,,
清华大学,0,,
文献,0,,
课堂,0,,
读者,0,,
试题,0,,
指导,0,,
公司,0,,
训练,0,,
办公室,0,,
考试,0,,
斯坦福,0,,
手册,0,,
三个代表,0,,
学分,0,,
学术论文,0,,
必修课,0,,
搜狐,0,,
打基础,0,,
讲义,0,,
高水平,0,,
顶级,0,,
建筑材料,0,,
学号,0,,
论文,0,,
专门,0,,
浙大,0,,
成绩,0,,
合格,0,,
资质,0,,
资深,0,,
地质,0,,
讲稿,0,,
教科书,0,,
融会贯通,0,,
课本,0,,
研讨会,0,,
大学生,0,,
学期,0,,
哈佛,0,,
后备,0,,
学会,0,,
学术界,0,,
亚马逊,0,,
余力,0,,
前言,0,,
协会,0,,
助教,0,,
学生,0,,
学,0,,
大学,0,,
哥伦比亚,0,,
课,0,,
陈老师,0,,
作者,0,,
学校,0,,
同学,0,,
老师,0,,
南开,0,,
省,0,,
学堂,0,,
会长,0,,
取款机,0,,
信号灯,0,,
储户,0,,
搭积木,0,,
场景,0,,
车辆,0,,
消防,0,,
排队,0,,
货物,0,,
买火车票,0,,
小区,0,,
银行,0,,
钱行,0,,
入口,0,,
垃圾箱,0,,
身份证,0,,
保险柜,0,,
火车票,0,,
飞机票,0,,
站台,0,,
空置,0,,
购物,0,,
钥匙,0,,
电梯,0,,
赛车,0,,
赛道,0,,
陷阱门,0,,
火灾,0,,
场所,0,,
绿灯,0,,
路,0,,
越界,0,,
陷井,0,,
僵尸,0,,
乘客,0,,
布置,0,,
降级,0,,
桥梁,0,,
准备就绪,0,,
跑车,0,,
警察抓小偷,0,,
建筑,0,,
商店,0,,
现场,0,,
入队,0,,
空地,0,,
收尾,0,,
跑步,0,,
红灯,0,,
火车,0,,
裁判,0,,
钟表,0,,
陷阱,0,,
游泳池,0,,
十字路口,0,,
车站,0,,
冰箱,0,,
水电站,0,,
营业员,0,,
集会,0,,
过关,0,,
车,0,,
赛车场,0,,
层楼,0,,
桌子,0,,
天花板,0,,
安卓,0,,
足球,0,,
司机,0,,
荷兰,0,,
关,0,,
消防队,0,,
踢球,0,,
房子,0,,
门,0,,
地狱,0,,
时分,0,,
上堂,0,,
队,0,,
沿路,0,,
居民,0,,
林区,0,,
楼,0,,
